Tool,Features,Game/Engineering,Format,Open Source,Description,Link
ABAQUS,,Engineer.,,,,
Abaqus,,Engineer.,,,,
Actran,,Engineer.,,,,
AcuSolve,,Engineer.,,,,
Adams,,Engineer.,,,,https://hexagon.com/products/product-groups/computer-aided-engineering-software/adams
Adams Car,,Engineer.,,,,
Altair Activate,,Engineer.,,,,
Altair Flux,,Engineer.,,,,
Altair Inspire,,Engineer.,,,,
AMESim,,Engineer.,,,,
ANSA,,Engineer.,,,,
ANSYS,,Engineer.,,No,,
ANSYS Fluent,,Engineer.,,No,,
ANSYS Icepak,,Engineer.,,No,,
ANSYS Maxwell,,Engineer.,,No,,
ANSYS Mechanical,,Engineer.,,No,,
ANSYS Polyflow,,Engineer.,,No,,
ANSYS RedHawk,,Engineer.,,No,,
ANSYS SpaceClaim,,Engineer.,,No,,
ANSYS Structural,,Engineer.,,No,,
ATOS,,Engineer.,,,,
AutoForm,,Engineer.,,,,
AVL Boost,,Engineer.,,,,
AVL CAMEO,,Engineer.,,,,
AVL Cruise,,Engineer.,,,,
AVL DynoMax,,Engineer.,,,,
AVL eDICT,,Engineer.,,,,
AVL Excite,,Engineer.,,,,
AVL EXCITE Power Unit,,Engineer.,,,,
AVL EXCITE Transmission,,Engineer.,,,,
AVL FAME,,Engineer.,,,,
AVL Fire,,Engineer.,,,,
AVL Fire M,,Engineer.,,,,
AVL Fire M / ESI-GROUP,,Engineer.,,,,
AVL Fuel Cell,,Engineer.,,,,
AVL MicroHybrid,,Engineer.,,,,
AVL Powertrain Integration,,Engineer.,,,,
AVL PUMA,,Engineer.,,,,
AVL VSM,,Engineer.,,,,
AVL X-ion,,Engineer.,,,,
AVL Zink,,Engineer.,,,,
CAESES,,Engineer.,,,,
CARLA,,Engineer.,,Yes,"CARLA has been developed from the ground up to support development, training, and validation of autonomous driving systems. In addition to open-source code and protocols, CARLA provides open digital assets (urban layouts, buildings, vehicles) that were created for this purpose and can be used freely. The simulation platform supports flexible specification of sensor suites, environmental conditions, full control of all static and dynamic actors, maps generation and much more.",https://carla.org/
CarMaker Realtime,,Engineer.,,No,,
CarMaker/TruckMaker/BikeMaker,,Engineer.,,No,"Open integration and test platform for virtual test driving.

CarMaker itself is an advanced software package for Model-Based Design, testing, and development in the field of vehicle dynamics for cars, motorcycles and trucks.",https://ipg-automotive.com/en
CARNET,,Engineer.,,,,
CarSim,,Engineer.,,No,,
CarSim Research,,Engineer.,,No,,
